Tick Distancia,Distancia real,Centro,Esq A,Esq B,Esq C,Esq D,,Delta adicional distancia mm
1,"3,7","78,9","91,3","91,1",87,"86,3",,"2,7"
6,"8,7",71,"69,7","68,2","66,3","66,7",,
11,"13,7","62,7","53,7","52,3","51,5","51,6",,
16,"18,7","50,3","42,6","42,3","41,1","41,5",,
21,"23,7",45,"38,1","37,8","36,8","37,2",,
26,"28,7","40,3","34,1","33,8",33,"33,3",,
31,"33,7","37,8","23,6","24,4","23,3","24,2",,
36,"38,7","32,3","27,2","27,1","26,4","26,7",,
41,"43,7","28,9","24,3","24,2","23,7","23,9",,
46,"48,7","25,8","21,7","21,7","21,2","21,4",,
51,"53,7","20,6","14,3","13,3","13,6","14,4",,
56,"58,7","20,7","17,4","17,3",17,"17,1",,
61,"63,7","18,5","15,5","15,5","15,2","15,3",,
66,"68,7","16,6","13,9","13,9","13,6","13,7",,
71,"73,7","14,8","12,4","12,4","12,2","12,3",,
76,"78,7","13,3","11,1","11,1","10,9",11,,
81,"83,7","11,9","9,9","9,9","9,8","9,9",,
86,"88,7","10,6","8,9","8,9","8,8","8,8",,
91,"93,7","7,6","5,6",6,"5,7","5,4",,
96,"98,7","8,5","7,1","7,1",7,"7,1",,
101,"103,7","7,6","6,3","6,4","6,3","6,3",,
106,"108,7","6,8","5,6","5,7","5,6","5,7",,
111,"113,7","4,9",4,4,4,4,,
116,"118,7","5,5","4,5","4,5","4,5","4,5",,
121,"123,7","4,9",4,"4,1",4,"4,1",,
126,"128,7","4,4","3,6","3,6","3,6","3,6",,
131,"133,7","3,3","2,8","2,9","2,8","2,9",,
136,"138,7","3,5","2,9","2,9","2,9","2,9",,
141,"143,7","3,1","2,6","2,6","2,6","2,6",,
146,"148,7","2,8","2,3","2,3","2,3","2,3",,
151,"153,7","2,4",2,2,"2,1","2,1",,
156,"158,7","2,2","1,8","1,9","1,9","1,9",,
161,"163,7",2,"1,6","1,7","1,7","1,7",,
166,"168,7","1,8","1,5","1,5","1,5","1,5",,
171,"173,7","1,6","1,3","1,3","1,3","1,3",,
176,"178,7","1,4","1,2","1,2","1,2","1,2",,
181,"183,7","1,3",1,"1,1","1,1","1,1",,
186,"188,7","1,2","0,9",1,1,1,,
191,"193,7",1,"0,8","0,9","0,9","0,9",,
196,"198,7","0,9","0,7","0,8","0,8","0,8",,
201,"203,7","1,2","1,1","1,1","1,1","1,1",,
