Tick Distancia,Distancia real,Centro,Esq A,Esq B,Esq C,Esq D,,Delta adicional distancia mm
1,"3,7",-74,"-87,4","-87,6","-88,1","-93,1",,"2,7"
6,"8,7","-68,5",-62,"-63,4","-67,9","-70,5",,
11,"13,7","-59,9","-50,5","-47,4","-52,8",-58,,
16,"18,7","-53,3","-37,2","-40,2","-41,2","-44,6",,
21,"23,7","-48,2","-33,6",-33,"-34,3","-36,2",,
26,"28,7","-41,5","-28,9","-28,5","-29,5",-31,,
31,"33,7","-35,8","-24,8","-24,6","-25,4","-26,6",,
36,"38,7","-30,8","-21,3","-21,3","-21,8","-22,8",,
41,"43,7","-26,5","-18,3","-18,4","-18,8","-19,6",,
46,"48,7","-22,9","-15,7","-15,9","-16,2","-16,8",,
51,"53,7","-19,7","-13,5","-13,7","-13,9","-14,4",,
56,"58,7","-17,4","-12,1","-12,2","-12,3","-12,8",,
61,"63,7","-15,4","-10,8","-10,9","-10,9","-11,4",,
66,"68,7","-13,6","-9,7","-9,7","-9,7","-10,1",,
71,"73,7",-12,"-8,7","-8,7","-8,6",-9,,
76,"78,7","-10,7","-7,8","-7,9","-7,8","-8,1",,
81,"83,7","-9,6","-6,9","-7,1","-7,1","-7,3",,
86,"88,7","-8,6","-6,2","-6,4","-6,4","-6,6",,
91,"93,7","-7,7","-5,5","-5,8","-5,8","-5,9",,
96,"98,7","-6,9",-5,"-5,3","-5,3","-5,4",,
101,"103,7","-6,2","-4,6","-4,8","-4,8","-4,9",,
106,"108,7","-5,6","-4,2","-4,4","-4,4","-4,5",,
111,"113,7",-5,"-3,8",-4,-4,"-4,1",,
116,"118,7","-4,5","-3,5","-3,7","-3,7","-3,8",,
121,"123,7",-4,"-3,3","-3,5","-3,5","-3,6",,
126,"128,7","-3,6","-3,1","-3,3","-3,2","-3,3",,
131,"133,7","-3,2","-2,9","-3,1",-3,"-3,1",,
136,"138,7","-2,9","-2,7","-2,9","-2,8","-2,9",,
141,"143,7","-2,6","-2,5","-2,7","-2,6","-2,7",,
146,"148,7","-2,3","-2,3","-2,5","-2,4","-2,5",,
151,"153,7","-2,1","-2,2","-2,3","-2,3","-2,4",,
156,"158,7","-1,9",-2,"-2,2","-2,1","-2,2",,
161,"163,7","-1,7","-1,9",-2,-2,"-2,1",,
166,"168,7","-1,5","-1,8","-1,9","-1,8","-1,9",,
171,"173,7","-1,4","-1,7","-1,8","-1,7","-1,8",,
176,"178,7","-1,2","-1,6","-1,7","-1,6","-1,7",,
181,"183,7","-1,1","-1,4","-1,6","-1,5","-1,6",,
186,"188,7",-1,"-1,4","-1,5","-1,4","-1,5",,
191,"193,7","-0,9","-1,3","-1,4","-1,3","-1,4",,
196,"198,7","-0,8","-1,2","-1,3","-1,2","-1,3",,
201,"203,7","-0,7","-1,1","-1,2","-1,1","-1,2",,
